1door,Barrie,,Counselling,,,,,
A & B Clinics,Barrie,1,,,,,,
Aamjiwnaang First Nation,Sarnia,1,,,,,,
Above and Beyond,"Peterborough, Ontario",1,,,,,,
ADAPT Halton,"Burlington, Ontario",1,,,,,,
Addiction Centre Toronto,Brantford,1,,,,,,
Addiction Centre Toronto,"Hamilton, Ontario",1,,,,,,
Addiction Centre Toronto,"Hamilton, Ontario",1,,,,,,
Addiction Centre Toronto,"Kingston, Ontario",1,,,,,,
Addiction Centre Toronto,"Peterborough, Ontario",1,,,,,,
Addiction Services Central Ontario,"Markham, Ontario",1,,,,,,
Addiction Services Central Ontario,,1,,,,,,
Addictions Treatment Service,"Pembroke, Ontario",1,,,,,,
Al-Anon / Alateen Family Groups,"Pembroke, Ontario",1,,,,,,
Al-Anon Family Groups - Waterloo/Wellington,"Cambridge, Ontario",1,,,,,,
Al-Anon Family Groups - Waterloo/Wellington,Guelph,1,,,,,,
Algoma Substance Abuse Rehabilitation Centre,"Sault Ste. Marie, Ontario",1,,,,,,
Alternatives for Youth,"Hamilton, Ontario",1,,,,,,
Amethyst Women's Addiction Centre,Ottawa,1,,,,,,
Arrow Medical,Barrie,1,,,,,,
Arrow Medical,Barrie,1,,,,,,
Back Door Mission for the Relief of Poverty,Oshawa,1,,,,,,
Barrie Area Native Advisory Circle,Barrie,1,,,,,,
Barrie Area Native Advisory Circle,Orillia,1,,,,,,
Barrie Native Friendship Centre,Barrie,1,,,,,,
Barrie Peoples Clinic & Pharmacy,Barrie,1,,,,,,
Beendigen,Thunder Bay,1,,,,,,
Belong Ottawa,Ottawa,1,,,,,,
Bluewater Health,Sarnia,1,,,,,,
Bluewater Health,Sarnia,1,,,,,,
Bluewater Methadone Clinic,Chatham-Kent,1,,,,,,
Bluewater Methadone Clinic,Sarnia,1,,,,,,
Bluewater Methadone Clinic,Sarnia,1,,,,,,
Body Brave,"Hamilton, Ontario",1,,,,,,
Brant Haldimand Norfolk RAAM,Brantford,1,,,,,,
"Brantford Clinic, A Fresh New Start",Brantford,1,,,,,,
Brentwood Recovery Home,"Windsor, Ontario",1,,,,,,
Bruyere Health,Ottawa,1,,,,,,
Bulimia Anorexia Nervosa Association,"Windsor, Ontario",,Eating disorder,,,,,
Canadian Addiction Treatment Centres,"Hamilton, Ontario",1,,,,,,
Canadian Mental Health Association - Cochrane Timiskaming,Thunder Bay,1,,,,,,
Canadian Mental Health Association - Waterloo Wellington,Timmins,1,,,,,,
"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",Guelph,1,,,,,,
Canadian Mental Health Association Hastings Prince Edward,Owen Sound,1,,,,,,
"Canadian Mental Health Association, Peel Dufferin Branch",Quinte West,1,,,,,,
Canadian Mental Health Association. Simcoe County Branch,Brampton,1,,,,,,
Canadian Mental Health Association. Simcoe County Branch,Barrie,1,,,,,,
Cardinal Counselling and Mediation,Orillia,1,,,,,,
Caritas School of Life,"Waterloo, Ontario",1,,,,,,
Centre Jubilee Centre,"St. Thomas, Ontario",1,Addiction treatment,,,,,
Centretown Community Health Centre,Timmins,1,,,,,,
Change Health Care,Ottawa,1,,,,,,
Chatham-Kent Health Alliance,Ottawa,1,,,,,,
Chatham-Kent Youth Wellness Hub,"Kingston, Ontario",1,,,,,,
Children's Hospital London Health Sciences Centre,Chatham-Kent,1,,,,,,
Clinic 461,"Hamilton, Ontario",1,,,,,,
CMHA Thames Valley Addiction and Mental Health Services,ingersol,,,,,,,
CMHA Thames Valley Addiction and Mental Health Services,"London, Ontario",1,,,,,,
Colborne Street Clinic,Brantford,1,,,,,,
Community Addiction Services of Niagara,"St. Thomas, Ontario",1,,,,,,
Community Addiction Services of Niagara,Brantford,1,,,,,,
Community Counselling Centre of Nipissing,St. Catharines,1,,,,,,
Cornerstone to Recovery,St. Catharines,1,,,,,,
Cornwall Community Hospital,"North Bay, Ontario",1,,,,,,
Cornwall Community Hospital,Barrie,1,,,,,,
Counselling Centre of East Algoma,"Cornwall, Ontario",1,,,,,,
Counselling Centre of East Algoma,"Cornwall, Ontario",1,,,,,,
Counselling Connect,Elliot Lake,1,,,,,,
Crossroads : Centre for Personal Empowerment,Elliot Lake,1,,,,,,
Delta Health Clinics,Ottawa,1,,,,,,
Delta Health Clinics,"Windsor, Ontario",1,,,,,,
Delta Health Clinics,Barrie,1,,,,,,
Dilico Anishinabek Family Care,Barrie,1,,,,,,
Downtown Wellness Addiction Health Clinic,Barrie,1,,,,,,
Eastern Champlain Youth Wellness Hubs,"Peterborough, Ontario",1,,,,,,
Eastern Ontario Health Unit,"Windsor, Ontario",1,,,,,,
EHN Canada,Clarence-Rockland,1,,,,,,
Erie-St Clair Clinic,"Cornwall, Ontario",,,,,,,
Essex County Diversion Program,"Peterborough, Ontario",,,,,,,
First Step Medical Clinic,Ottawa,,,,,,,
First Step Medical Clinic,Mississauga,,,,,,,
Four Counties Addiction Services Team,"Peterborough, Ontario",1,,,,,,
Four Counties Addiction Services Team,Thunder Bay,1,,,,,,
Four Counties Addiction Services Team,Kawartha Lakes,1,,,,,,
Fred Victor,"Peterborough, Ontario",1,,,,,,
Fresh Start Clinic,"Peterborough, Ontario",1,,,,,,
Fresh Start Clinic,Toronto,1,,,,,,
Fresh Start Clinic,Port Colborne,1,,,,,,
Fresh Start Clinic,Port Colborne,1,,,,,,
Good Shepherd Centres,St. Catharines,1,,,,,,
Goyeau Street Clinic,"Windsor, Ontario",1,,,,,,
Grand River Hospital,,1,,,,,,
Guelph Family Health Team,,,,,,,,
Halton & Mississauga RAAM Clinic,,1,,,,,,
Hastings Prince Edward Public Health Unit,,1,,,,,,
Hastings Prince Edward Public Health Unit,,1,,,,,,
Haven Toronto,,1,,,,,,
Healing of the Seven Generations,Kitchner,,Wellness Centre,,,,,
Health Sciences North - Adult Alcohol Program,Sudbury,1,,,,,,
Health Sciences North - Nord mental health & addiction program,Sudbury,1,,,,,,
Heart Niagara,Greater Sudbury,1,,,,,,
Homewood Health Centre,Greater Sudbury,1,,,,,,
Homewood Health Centre,"Niagara Falls, Ontario",1,,,,,,
Horizons Opioid Treatment Service,Guelph,1,,,,,,
Hospital for Sick Children,Sarnia,1,,,,,,
Hotel-Dieu Grace Healthcare,"Burlington, Ontario",1,,,,,,
House of Friendship,Kitchner,1,,,,,,
House of Friendship,"Cambridge, Ontario",1,,,,,,
House of Sophrosyne,"Cambridge, Ontario",1,,,,,,
Huron Perth Healthcare Alliance,"Stratford, Ontario",1,,,,,,
Huron Perth Public Health,"Stratford, Ontario",,,,,,,
John Howard Society of Kawartha Lakes & Haliburton,Kawartha Lakes,1,,,,,,
John Howard Society of Peel-Halton-Dufferin,Milton,1,,,,,,
Ka Na Chi Hih Specialized Solvent Abuse Treatment Centre,thunderbay,1,,,,,,
Ka Na Chi Hih Specialized Solvent Abuse Treatment Centre,Siux lookout,1,,,,,,
Kenora Youth Wellness Hub,Kenora,,,,,,,
Kingston Family Health Network,,,,,,,,
Kingston Health Sciences Centre,,,,,,,,
Lake of the Woods District Hospital,"Kingston, Ontario",1,,,,,,
Lakeridge Health Oshawa,"Kingston, Ontario",1,,,,,,
Lambton Public Health,Kenora,1,,,,,,
"Lanark, Leeds and Grenville Addictions and Mental Health",,1,,,,,,
Lucero Health Centre,Thunder Bay,1,,,,,,
Lucero Health Centre,Thunder Bay,1,,,,,,Shelters
Middlesex-London Health Unit,"London, Ontario",,,,,,,Addiction treatment centres
Migisi Alchol and Drug Treatment Centre,"London, Ontario",1,,,,,,Opiod and Methadone clinic
Mike Powell Counselling Services,Ottawa,,,,,,,Wellness Hub for Youth
Mission Services of Hamilton,,1,,,,,,Centres for Women
Mission Services of London,Thunder Bay,1,,,,,,Smoking Cessation programs
Monarch Recovery Services,"London, Ontario",1,,,,,,Gambling Programs
Monarch Recovery Services,"Hamilton, Ontario",1,,,,,,Alcohol Cessation Program
Monarch Recovery Services,Ottawa,1,,,,,,Food Addictions and Eating disorders
N'Amerind (London) Friendship Centre,Brampton,1,,,,,,Counselling
N'Swakamok Native Friendship Centre,"London, Ontario",,,,,,,
Ne Chee Friendship Centre,Kenora,,,,,,,
New Beginnings Clinic,"Pembroke, Ontario",1,,,,,,
New Dawn Medical,"Hamilton, Ontario",1,,,,,,
New Dawn Medical,"Toronto, Ontario",1,,,,,,
New Dawn Medical,"Peterborough, Ontario",1,,,,,,
New Life Clinic,"Cobourg, Ontario",1,,,,,,
Niagara Health,Greater Sudbury,1,,,,,,
Niagara Health,"Port Colborne, Ontario",1,,,,,,
Nogojiwanong Friendship Centre,St. Catharines,1,,,,,,
North Bay Indigenous Friendship Centre,"Peterborough, Ontario",,,,,,,
North Bay Regional Health Centre,"North Bay, Ontario",,,,,,,
Northern Treatment Centre,"North Bay, Ontario",1,,,,,,
Northwestern Health Unit,Kirkland Lake,1,,,,,,
NorWest Community Health Centres,Kenora,1,,,,,,
Oak Medical Arts,Thunder Bay,,,,,,,
Ontario Addiction Treatment Centres,Thunder Bay,1,,,,,,
Ontario Addiction Treatment Centres,Thorold,1,,,,,,
Ontario Addiction Treatment Centres,Port Colborne,1,,,,,,
Ontario Addiction Treatment Centres,St. Catharines,1,,,,,,
Ontario Addiction Treatment Centres - Kitchener,"Peterborough, Ontario",1,,,,,,
Ontario Addiction Treatment Centres - Niagara Region,,1,,,,,,
Ontario Addiction Treatment Centres - Northeastern Ontario,,1,,,,,,
Ontario Addiction Treatment Centres - Northwestern Ontario,,1,,,,,,
Ontario Addiction Treatment Centres [Windsor],,1,,,,,,
Oxford County Community Health Centre,,1,,,,,,
Oxford Recovery Clinic,,1,,,,,,
Pathways Alcohol and Drug Treatment Services,,1,,,,,,
Peel Addiction Assessment and Referral Centre,,1,,,,,,
Pembroke Regional Hospital,,1,,,,,,
Peterborough Public Health,,1,,,,,,
Peterborough Regional Health Centre,,1,,,,,,
Phoenix Medical Centre,,1,,,,,,
Quest Community Health Centre,Mississauga,1,,,,,,
Rapids Family Health Team,Oshawa,1,,,,,,
Ray of Hope,Ottawa,1,,,,,,
RE/ACT Windsor-Essex,Kitchner,1,,,,,,
Recovery Care,Ottawa,1,,,,,,
Recovery North,"Cornwall, Ontario",1,,,,,,
Renew Medical Clinic,Sudbury,1,,,,,,
RGA and The Space Within,Mississauga,,,,,,,
Right to Heal,"Stratford, Ontario",,,,,,,
Road to Recovery Addiction Clinic,Barrie,1,,,,,,
Salvation Army (The),Barrie,1,,,,,,
Salvation Army (The),"Kingston, Ontario",1,,,,,,
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Ottawa,1,,,,,,
Sandy Hill Community Health Centre,,1,,,,,,
Sault Area Hospital,Ottawa,1,,,,,,
Segue Clinic,,1,,,,,,
Seven South Street Treatment Centre,,1,,,,,,
Shepherds of Good Hope,,1,,,,,,
Silverlinings Medical Centres,Guelph,1,,,,,,
Silverlinings Medical Centres,Guelph,1,,,,,,
Simcoe Muskoka Regional Eating Disorder Program,,1,,,,,,
SOAR Community Services,,1,,,,,,
Sobriety House Inc,,1,,,,,,
St Joseph's Care Group,"lillie street,London, Ontario",1,,,,,,
St Joseph's Care Group,"Sibley Dr, London, Ontario",1,,,,,,
St Joseph's Care Group,"Oliver Road, Ontario",1,,,,,,
St Joseph's General Hospital - Camillius Centre,Elliot Lake,1,,,,,,
St Joseph's General Hospital - Adult Substance program,Elliot Lake,1,,,,,,
St Joseph's General Hospital - Chemicals dependency program,Elliot Lake,1,,,,,,
St Michael's Hospital,,,,,,,,
St Paul Clinic,,,,,,,,
St. Joseph's Healthcare Hamilton,,,,,,,,
Stonehenge Therapeutic Community,Guelph,1,,,,,,
Stonehenge Therapeutic Community - RAAMS,Guelph,1,,,,,,
Stonehenge Therapeutic Community - Residential Program,Guelph,1,,,,,,
Teen Challenge Canada,"London, Ontario",1,,,,,,
The Ottawa Mission,,1,,,,,,
Thunder Bay Addiction Centres,,1,,,,,,
Thunder Bay Counselling,,1,,,,,,
Timmins Native Friendship Centre,,1,,,,,,
Towards Recovery Clinic,Barrie,1,,,,,,
Towards Recovery Clinic,Brantford,1,,,,,,
Trillium Health Partners,Toronto,1,,,,,,
trueNorth Addiction Treatment,Toronto,1,,,,,,
TrueNorth Medical Centre,"Cambridge, Ontario",1,,,,,,
TrueNorth Medical Centre,Guelph,1,,,,,,
Turning Point,Brantford,1,,,,,,
"University Health Network, Toronto General Hospital",,1,,,,,,
Viscount Pharmacy,"London, Ontario",,,,,,,
Vitanova Foundation,Vaughan,1,,,,,,
Wayside House of Hamilton,,1,,,,,,
Wellington Guelph Drug Strategy,Guelph,1,,,,,,
Wellington-Dufferin-Guelph Public Health,Guelph,1,,,,,,
Wesley,,1,,,,,,
Westover Treatment Centre,Thamesvile,1,,,,,,
William Osler Health System,Brampton,1,,,,,,
Windsor Essex Community Health Centre,,1,,,,,,
Windsor Family Health Team,,1,,,,,,
Windsor Life Centre,,1,,,,,,
Women's College Hospital,,1,,,,,,
Youth Diversion,"Kingston, Ontario",1,,,,,,
,,,,,,,,
,,201,,,,,,